trajectory_id,log_sha256,nominal_fourier_spacing_nm,input_coulomb_cutoff_nm,final_logged_optimal_grid,final_logged_optimal_cutoff_nm,final_optimal_line
Pro00083__PET_L10__bidirectional__r2,610a57f9e0f40da4d4d6bc3f4b90c2f5ff997b68d1350c444c852553a6c67ffe,0.16,1.2,84 84 84,1.2,486
Pro00083__PET_L10__bidirectional__r3,13903a9bc42d775ce9fcc1682d05c3a64cd4faa9b4e208905d20ee5f7fd0921c,0.16,1.2,84 84 84,1.2,488
Pro00083__PET_L10__head-side__r1,21f575b8c049f4d07b6b13e7b741bae97ef95f20a6ef12b89394a9c987c70c36,0.16,1.2,84 84 84,1.2,486
Pro00083__PET_L10__head-side__r2,3bdaf2d4d1b2efe869fe0fea8be85ffd769b34761b63fc9540d6f8a814f15718,0.16,1.2,84 84 84,1.2,487
Pro00083__PET_L10__head-side__r3,087e7908a304b0261098730ce2c4d9fc4506deb0e104e1aa41d8d7a056edf855,0.16,1.2,84 84 84,1.2,488
Pro00083__PET_L10__tail-side__r1,4e8d34b0f6f51e54e4697ec93300b4e8412c8b9735944b97238c4326e4892679,0.16,1.2,84 84 84,1.2,486
Pro00083__PET_L10__tail-side__r2,6d806bef824edfea6520fb10e9869bfa505412b4b727b4a91c9b1567ecb89279,0.16,1.2,84 84 84,1.2,486
Pro00083__PET_L10__tail-side__r3,0b5f74d8cdff226dfe0de186e8fbdabef1354340d4c80155a704bbcd572fc599,0.16,1.2,84 84 84,1.2,486
Pro00083__PET_L20__bidirectional__r1,a5c995da33e5579efd8f98a0385473bba651da758f4718b35e809bc5c74e98a1,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__bidirectional__r2,286ca2c26b7dc5265755a89b6fd04cda34aae6f5611435b95c6e22aaae28bda8,0.16,1.2,96 96 96,1.2,474
Pro00083__PET_L20__bidirectional__r3,63f5e1d7d085b30ede6106fbeaadbb346a83bce809d241180ae61e7ecec35601,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__head-side__r1,987b0eeede2f63f29182906e832c40391849d0b14820892573b61069f6c58a73,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__head-side__r2,1d0df05aacdab0c3cdcaa1ab1ebe824b0def5c6d264d0bf085bae55afdcba478,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__head-side__r3,c08df621e291a1a1d91a03d65d2a9babd1272c57e4b2ca1138650c8178b25bc3,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__tail-side__r1,4bd1d0a6bbd670cbf72206cfec798566ef0fc82cd78c0602cb0335f510875dc4,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__tail-side__r2,7b003b92cd9037a845b6133abfe1026cfa581376096f5d1500d1154caedb1249,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L20__tail-side__r3,a5c0326c4f95cd86cdbf1b546eba73ed9edef5e37fddf1ae0085e254772b2b74,0.16,1.2,96 96 96,1.2,474
Pro00121__PET_L4__single__r1,7be415c7d0d4bfcea6901827a071a11b7079699f7a5577d830a2f42b42863b71,0.16,1.2,64 64 64,1.2,499
Pro00121__PET_L4__single__r2,657e152b0f717d0eff3d1e72a68c9d23b5a15811feec1a6d632e95ff9b371ce0,0.16,1.2,64 64 64,1.2,474
Pro00121__PET_L4__single__r3,e2e86bc082bd1264277a0defbc547db700277e0161dd4a9bf36251876efb4711,0.16,1.2,64 64 64,1.2,499
Pro00121__PET_L10__bidirectional__r1,91f91b26c68e32d15be852bae4cb494e12f603bb8ac4c6a50d43bad6e177e9e5,0.16,1.2,84 84 84,1.2,486
Pro00121__PET_L10__bidirectional__r2,bd1cdc7acd99a81eff838006bd536e358e7bfe6f4f89a645b2b05d125ffbd74c,0.16,1.2,84 84 84,1.2,113094
Pro00121__PET_L10__bidirectional__r3,086dd3e577f13f96ca33f19f2911f2fa4756effd18b1e64ae97ac4ffb6a73837,0.16,1.2,84 84 84,1.2,104560
Pro00121__PET_L10__head-side__r1,5c20729ec5e9853f2961546818f11673c22820d8a970fab6714cdcdb00393e3a,0.16,1.2,84 84 84,1.2,486
Pro00121__PET_L10__head-side__r2,10c196d35d3dc13fdb311ba0a79d4996282850977eac92b2367bc337079e9860,0.16,1.2,84 84 84,1.2,486
Pro00121__PET_L10__head-side__r3,8891a0f66b64f408ed88406f208a24e108d92ffbaed588775cd01e2dfe33d6f8,0.16,1.2,80 80 80,1.205,487
Pro00121__PET_L10__tail-side__r1,57a3ae8fbc5123d8f9152ef09066f8db950b68e59723d74e7d2d23f95dd89610,0.16,1.2,84 84 84,1.2,488
Pro00121__PET_L10__tail-side__r2,5f14f2082fae98881acf7dd73ad12b2dfc6ff8e003c21a73bc7d4b2fb74af8e0,0.16,1.2,84 84 84,1.2,486
Pro00121__PET_L10__tail-side__r3,ca3f7c0d4b5cdc156ecc90ca456efbd664dcee96cd54624d5388b878dbc98762,0.16,1.2,84 84 84,1.2,486
Pro00121__PET_L20__bidirectional__r1,27ca6733673e25959624b32507f70d8f15583ffa54bd784f4ab34c3144a23b11,0.16,1.2,96 96 96,1.2,106142
Pro00121__PET_L20__bidirectional__r2,f4d8299ecef0d7bd96b2d30b9cad89b7a36603487afaf44bc699bf1b92eafee1,0.16,1.2,96 96 96,1.2,72897
Pro00121__PET_L20__bidirectional__r3,2361297e399bd06861d0e994e6e89f0638d5b514b05d89952de6fb239e01dd6b,0.16,1.2,96 96 96,1.2,476
Pro00121__PET_L20__head-side__r1,3230ea234d4ca77238b7c243231dc33fcb8849bbfc2c0288de5b193c1831b48c,0.16,1.2,96 96 96,1.2,473
Pro00121__PET_L20__head-side__r2,cf6651037d85042ec4b82c6dc1edeb3fcc5c80533a9abe1fcbbcd2ef50e0e1f0,0.16,1.2,96 96 96,1.2,473
Pro00121__PET_L20__head-side__r3,463ce67a0ac958368cc885bf689514ea9877905a05bfb41ae3c4bf73d3227e63,0.16,1.2,96 96 96,1.2,473
Pro00121__PET_L20__tail-side__r1,6563ea1ddc2ff1f3a08c6b2ccfeb8af57d4177c644c5fa28753046384a327988,0.16,1.2,96 96 96,1.2,473
Pro00121__PET_L20__tail-side__r2,418869236b7205758eb38060cb0cb61de55d1c2312676e5983352e46d61d1ab3,0.16,1.2,96 96 96,1.2,129895
Pro00121__PET_L20__tail-side__r3,07efa2df92defb8c061a79fbda7cdf8b34923e94694f5669566f03e17e025979,0.16,1.2,96 96 96,1.2,474
Pro00137__PET_L4__single__r1,cb7ce6eea847b9d4e03f1b69ead527341217f90a5472f3956aaf77227b017a0f,0.16,1.2,64 64 64,1.2,504
Pro00137__PET_L4__single__r2,c345f0a944d5b8e2c6824b105c7f41d8f22f2c96345ed74cb9e1f2459be2c3d5,0.16,1.2,64 64 64,1.2,504
Pro00137__PET_L4__single__r3,bf6dce0b9be319819280ffdcafbb9e4bf849bb05a112c301cafaca4e20a13340,0.16,1.2,64 64 64,1.2,504
Pro00137__PET_L10__bidirectional__r1,e86ae24819a41cd2a06ff82f717328038b51532bad321d6407d6cc572bdbb24b,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L10__bidirectional__r2,fed9f4766aca666a94bb33a7f61ecd60ea69ad6ed74d18dae9d63c472528f1aa,0.16,1.2,84 84 84,1.2,488
Pro00137__PET_L10__bidirectional__r3,ca84b7a02653518a0b331681e784c9e280261746d008163c94f046bc3f0dd0c6,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L10__head-side__r1,d2811f8e0c1ee5e8d2de2f35ba151b448ca71ee8e44fbbce97d69aedf0521da5,0.16,1.2,84 84 84,1.2,490
Pro00137__PET_L10__head-side__r2,454bd974e0b3c04e787a284bc59ae16913c687729de740f0a8ec7a9e2421faca,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L10__head-side__r3,24b078abb98d8356277c3f482881236cbdbb8e50b69f697753c10c81667dc558,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L10__tail-side__r1,b883ae91a5ab46b9b1edcbbd635db86e18d2981f778a6cb5215a951b2504e4a7,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L10__tail-side__r2,e0bcb2915e3a8e293ce4d28e25092b1de7b3718433ae739173803c91ea1eaa12,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L10__tail-side__r3,ecd80524befbce6975475bb0afc53008f6568bf36e00338fbe0a3f07bf33d087,0.16,1.2,84 84 84,1.2,486
Pro00137__PET_L20__bidirectional__r1,1519433622b35dc5f5d6a16cb4db0e727ea1941dbadbea8202f8becabc29178c,0.16,1.2,96 96 96,1.2,473
Pro00137__PET_L20__bidirectional__r2,9712e79862e100107bdb44e32992c6cec2c54839f5d2a6f0ba2cc23d06fd0e5c,0.16,1.2,96 96 96,1.2,473
Pro00137__PET_L20__bidirectional__r3,5d247c3804a274a49e70a1ed94b42465601fc597ad0cac85af0018ecaa9c318f,0.16,1.2,96 96 96,1.2,473
Pro00137__PET_L20__head-side__r1,12512a9ab197326683ffb41b65a194207b9db2829aa045a0e770f30f366a216d,0.16,1.2,96 96 96,1.2,473
Pro00137__PET_L20__head-side__r2,d4d3986da81299c9dc3832779765cb5dfa487c92b5f817870d5d9fa44418b760,0.16,1.2,96 96 96,1.2,473
Pro00137__PET_L20__head-side__r3,396b08dc389beb81c6da794fcc75d3e0f67a724569ee7f5ce3083dc458cfdf5a,0.16,1.2,96 96 96,1.2,474
Pro00137__PET_L20__tail-side__r1,bf04582ac0ab323b08b0ddaf6b0e646d4bffb524d677c03c2307f0f2da351d95,0.16,1.2,96 96 96,1.2,473
Pro00137__PET_L20__tail-side__r2,374bdb58ae64f2183501274b43fb840d20c3e5e6c9ec248f57c215f34b0cd8ce,0.16,1.2,96 96 96,1.2,106227
Pro00137__PET_L20__tail-side__r3,5e25de17ca9cc029c1acd1e22b5a16223978ef7c3fef9ace7fe56646ee176579,0.16,1.2,96 96 96,1.2,473
