protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,tail-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.192,0.16,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,tail-side,3,PRODUCTION_FAIL,FAIL,0.0096,detached,PASS,PASS,PASS,20.0,3.432,1.906,yes,yes,yes,no,no,retention 0.010 below 0.8; retention verdict FAIL
Pro00062,LCC WT,PET_L4,4,pro00062_petl4_h200x32_binding001_20260531T161122Z,results,single,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.2,0.167,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L4,4,pro00062_petl4_h200x32_binding001_20260531T161122Z,results,single,2,PRODUCTION_WARN,PASS,0.9319,retained,WARN,PASS,PASS,20.0,0.352,2.851,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L4,4,pro00062_petl4_h200x32_binding001_20260531T161122Z,results,single,3,PRODUCTION_WARN,WARN,0.5986,partial,WARN,PASS,PASS,20.0,1.08,0.217,yes,yes,yes,no,no,retention 0.599 below 0.8; retention verdict WARN; stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,bidirectional,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.212,0.186,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,bidirectional,2,PRODUCTION_WARN,WARN,0.5987,partial,WARN,PASS,PASS,20.0,1.029,4.39,yes,yes,yes,no,no,retention 0.599 below 0.8; retention verdict WARN; stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,bidirectional,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.207,0.173,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,head-side,1,PRODUCTION_FAIL,FAIL,0.2428,detached,WARN,PASS,PASS,20.0,2.432,3.191,yes,yes,yes,no,no,retention 0.243 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,head-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.196,0.281,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,head-side,3,PRODUCTION_FAIL,FAIL,0.0574,detached,WARN,PASS,PASS,20.0,3.278,5.328,yes,yes,yes,no,no,retention 0.057 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,tail-side,1,PRODUCTION_WARN,WARN,0.6593,partial,WARN,PASS,PASS,20.0,1.207,4.874,yes,yes,yes,no,no,retention 0.659 below 0.8; retention verdict WARN; stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,tail-side,2,PRODUCTION_FAIL,FAIL,0.3575,detached,WARN,PASS,PASS,20.0,2.204,0.197,yes,yes,yes,no,no,retention 0.357 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00062,LCC WT,PET_L10,10,pro00062_petl10_h200x32_binding001_20260601T032044Z,runtime,tail-side,3,PRODUCTION_WARN,WARN,0.7393,partial,WARN,PASS,PASS,20.0,0.95,5.747,yes,yes,yes,no,no,retention 0.739 below 0.8; retention verdict WARN; stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,bidirectional,1,PRODUCTION_WARN,PASS,0.9039,retained,WARN,PASS,PASS,20.0,0.46,0.217,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,bidirectional,2,PRODUCTION_WARN,PASS,0.9641,retained,WARN,PASS,PASS,20.0,0.283,0.22,yes,yes,yes,yes,no,stability verdict WARN
