protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,head-side,3,PRODUCTION_FAIL,FAIL,0.0011,detached,PASS,PASS,PASS,20.0,4.426,3.141,no,no,yes,no,no,retention 0.001 below 0.8; retention verdict FAIL
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,tail-side,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.194,0.2,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,tail-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.189,0.182,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,tail-side,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.2,0.282,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,bidirectional,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.178,0.174,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,bidirectional,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.188,0.197,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,bidirectional,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.202,0.213,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,head-side,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.185,0.186,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,head-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.188,0.207,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,head-side,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.198,0.2,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,tail-side,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.196,0.18,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,tail-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.192,0.184,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L20,20,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,runtime,tail-side,3,PRODUCTION_FAIL,FAIL,0.1425,detached,PASS,PASS,PASS,20.0,3.688,5.345,no,no,yes,no,no,retention 0.142 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L4,4,pro00137_petl4_b200h200x32_binding001_20260627T162743Z,results,single,1,PRODUCTION_FAIL,FAIL,0.1255,detached,PASS,PASS,PASS,20.0,2.334,3.048,no,no,yes,no,no,retention 0.126 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L4,4,pro00137_petl4_b200h200x32_binding001_20260627T162743Z,results,single,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.209,0.193,no,no,yes,yes,yes,strict retained trajectory
Pro00137,PHL7 / 7NEI,PET_L4,4,pro00137_petl4_b200h200x32_binding001_20260627T162743Z,results,single,3,PRODUCTION_FAIL,FAIL,0.3713,detached,PASS,PASS,PASS,20.0,1.702,0.782,no,no,yes,no,no,retention 0.371 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,bidirectional,1,PRODUCTION_WARN,WARN,0.6134,partial,PASS,PASS,PASS,20.0,1.235,0.25,no,no,yes,no,no,retention 0.613 below 0.8; retention verdict WARN
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,bidirectional,2,PRODUCTION_FAIL,FAIL,0.3543,detached,PASS,PASS,PASS,20.0,2.322,2.065,no,no,yes,no,no,retention 0.354 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,bidirectional,3,PRODUCTION_WARN,WARN,0.5572,partial,PASS,PASS,PASS,20.0,1.121,3.121,no,no,yes,no,no,retention 0.557 below 0.8; retention verdict WARN
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,head-side,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.211,0.241,no,no,yes,yes,yes,strict retained trajectory
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,head-side,2,PRODUCTION_FAIL,FAIL,0.3867,detached,PASS,PASS,PASS,20.0,2.007,3.06,no,no,yes,no,no,retention 0.387 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,head-side,3,PRODUCTION_PASS,PASS,0.9049,retained,PASS,PASS,PASS,20.0,0.394,1.988,no,no,yes,yes,yes,strict retained trajectory
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,tail-side,1,PRODUCTION_FAIL,FAIL,0.0162,detached,PASS,PASS,PASS,20.0,4.034,1.659,no,no,yes,no,no,retention 0.016 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,tail-side,2,PRODUCTION_FAIL,FAIL,0.2032,detached,PASS,PASS,PASS,20.0,1.996,0.23,no,no,yes,no,no,retention 0.203 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L10,10,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,runtime,tail-side,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.189,0.222,no,no,yes,yes,yes,strict retained trajectory
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,bidirectional,1,PRODUCTION_FAIL,FAIL,0.3977,detached,PASS,PASS,PASS,20.0,2.148,4.518,no,no,yes,no,no,retention 0.398 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,bidirectional,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.21,0.205,no,no,yes,yes,yes,strict retained trajectory
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.4149,detached,PASS,PASS,PASS,20.0,2.245,1.944,no,no,yes,no,no,retention 0.415 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,head-side,1,PRODUCTION_WARN,WARN,0.5248,partial,PASS,PASS,PASS,20.0,1.675,3.937,no,no,yes,no,no,retention 0.525 below 0.8; retention verdict WARN
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,head-side,2,PRODUCTION_WARN,WARN,0.5751,partial,PASS,PASS,PASS,20.0,1.407,2.103,no,no,yes,no,no,retention 0.575 below 0.8; retention verdict WARN
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,head-side,3,PRODUCTION_FAIL,FAIL,0.0899,detached,PASS,PASS,PASS,20.0,2.619,0.248,no,no,yes,no,no,retention 0.090 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,tail-side,1,PRODUCTION_FAIL,FAIL,0.0059,detached,PASS,PASS,PASS,20.0,3.518,2.968,no,no,yes,no,no,retention 0.006 below 0.8; retention verdict FAIL
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,tail-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.193,0.16,no,no,yes,yes,yes,strict retained trajectory
Pro00137,PHL7 / 7NEI,PET_L20,20,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,runtime,tail-side,3,PRODUCTION_WARN,WARN,0.7307,partial,PASS,PASS,PASS,20.0,0.905,3.648,no,no,yes,no,no,retention 0.731 below 0.8; retention verdict WARN
