trajectory_id,protein_id,protein,pet_kind,pet_length,direction,replica_id,stability_verdict,wloop_mean_rmsf_nm,wloop_max_rmsf_nm,marker_rmsf_nm,marker_residue_label,protein_median_calpha_rmsf_nm,wloop_minus_protein_median_nm,wloop_over_protein_median_ratio,stability_last50_mean_backbone_rmsd_nm,stability_last50_max_backbone_rmsd_nm,stability_plateau_ok,contact_fraction,contact_count,total_frames
Pro00083_PET_L20_head_side_r01,Pro00083,IsPETase,PET_L20,20,head-side,1,WARN,0.37535454545454544,0.4828,0.3483,W185,0.3378,0.03755454545454545,1.111173906022929,1.435,1.783,False,0.98300212,7865,8001
Pro00083_PET_L20_head_side_r02,Pro00083,IsPETase,PET_L20,20,head-side,2,WARN,0.15822727272727272,0.2179,0.1452,W185,0.16885,-0.010622727272727284,0.9370877863622903,1.707,1.91,False,1.0,8001,8001
Pro00083_PET_L20_head_side_r03,Pro00083,IsPETase,PET_L20,20,head-side,3,WARN,0.2106727272727273,0.2878,0.1976,W185,0.2229,-0.012227272727272698,0.9451445817529265,1.341,1.588,False,0.0,0,8001
Pro00083_PET_L20_tail_side_r01,Pro00083,IsPETase,PET_L20,20,tail-side,1,WARN,0.2863454545454545,0.3842,0.27,W185,0.3156,-0.029254545454545478,0.9073049890540384,1.315,1.586,False,0.98712661,7898,8001
Pro00083_PET_L20_tail_side_r02,Pro00083,IsPETase,PET_L20,20,tail-side,2,WARN,0.18535454545454544,0.2504,0.1795,W185,0.18765,-0.0022954545454545727,0.9877673618680811,1.416,1.502,False,0.6224222,4980,8001
Pro00083_PET_L4_single_r01,Pro00083,IsPETase,PET_L4,4,single,1,WARN,0.1650727272727273,0.1958,0.1629,W185,0.1965,-0.03142727272727272,0.8400647698357623,1.285,1.504,False,0.68328959,5467,8001
Pro00083_PET_L4_single_r02,Pro00083,IsPETase,PET_L4,4,single,2,WARN,0.23313636363636367,0.2827,0.206,W185,0.2217,0.011436363636363661,1.0515848607864846,1.185,1.483,False,0.0,0,8001
Pro00121_PET_L10_bidirectional_r03,Pro00121,HiC,PET_L10,10,bidirectional,3,PASS,0.07574545454545455,0.1265,0.0477,T135,0.050100000000000006,0.02564545454545454,1.5118853202685536,0.114,0.168,True,0.0,0,8001
Pro00121_PET_L10_head_side_r02,Pro00121,HiC,PET_L10,10,head-side,2,PASS,0.07086363636363636,0.1162,0.0533,T135,0.0529,0.017963636363636362,1.3395772469496476,0.147,0.195,True,0.13560805,1085,8001
Pro00121_PET_L10_tail_side_r01,Pro00121,HiC,PET_L10,10,tail-side,1,PASS,0.06502727272727273,0.1115,0.0426,T135,0.0485,0.016527272727272724,1.3407685098406747,0.12,0.163,True,0.00024997,2,8001
Pro00121_PET_L10_tail_side_r02,Pro00121,HiC,PET_L10,10,tail-side,2,PASS,0.08396363636363637,0.1254,0.0764,T135,0.04945,0.034513636363636364,1.6979501792444158,0.133,0.187,True,0.0,0,8001
Pro00121_PET_L10_tail_side_r03,Pro00121,HiC,PET_L10,10,tail-side,3,PASS,0.06841818181818182,0.106,0.0639,T135,0.0478,0.02061818181818182,1.4313427158615444,0.117,0.164,True,0.43269591,3462,8001
Pro00121_PET_L20_bidirectional_r01,Pro00121,HiC,PET_L20,20,bidirectional,1,PASS,0.06455454545454545,0.1022,0.0494,T135,0.051250000000000004,0.013304545454545444,1.2596008869179598,0.122,0.173,True,0.19460067,1557,8001
Pro00121_PET_L20_bidirectional_r02,Pro00121,HiC,PET_L20,20,bidirectional,2,PASS,0.07551818181818182,0.119,0.0642,T135,0.0502,0.025318181818181816,1.5043462513582035,0.156,0.207,True,0.25634296,2051,8001
Pro00121_PET_L20_bidirectional_r03,Pro00121,HiC,PET_L20,20,bidirectional,3,PASS,0.10929090909090909,0.1878,0.0705,T135,0.05015,0.05914090909090909,2.1792803407957946,0.118,0.176,True,0.00324959,26,8001
Pro00121_PET_L20_head_side_r01,Pro00121,HiC,PET_L20,20,head-side,1,PASS,0.06363636363636363,0.1076,0.0395,T135,0.049,0.014636363636363628,1.2987012987012985,0.119,0.188,True,0.17272841,1382,8001
Pro00121_PET_L20_head_side_r02,Pro00121,HiC,PET_L20,20,head-side,2,PASS,0.06588181818181818,0.1046,0.0566,T135,0.04825,0.01763181818181818,1.3654262835609985,0.138,0.188,True,0.20659918,1653,8001
Pro00121_PET_L20_head_side_r03,Pro00121,HiC,PET_L20,20,head-side,3,PASS,0.06430909090909091,0.1069,0.0417,T135,0.049449999999999994,0.014859090909090919,1.300487177130251,0.114,0.157,True,0.04686914,375,8001
Pro00121_PET_L20_tail_side_r01,Pro00121,HiC,PET_L20,20,tail-side,1,PASS,0.07305454545454546,0.1229,0.0498,T135,0.04955,0.02350454545454546,1.4743601504449135,0.132,0.248,True,0.26784152,2143,8001
Pro00121_PET_L20_tail_side_r02,Pro00121,HiC,PET_L20,20,tail-side,2,PASS,0.054663636363636366,0.089,0.0363,T135,0.048299999999999996,0.00636363636363637,1.1317523056653493,0.1,0.174,True,0.24221972,1938,8001
Pro00137_PET_L10_head_side_r01,Pro00137,PHL7,PET_L10,10,head-side,1,PASS,0.047509090909090904,0.0652,0.0383,W156,0.0548,-0.007290909090909098,0.8669542136695421,0.228,0.417,True,0.89501312,7161,8001
Pro00137_PET_L10_head_side_r03,Pro00137,PHL7,PET_L10,10,head-side,3,PASS,0.05199090909090909,0.0698,0.0418,W156,0.0584,-0.006409090909090913,0.8902552926525529,0.262,0.443,True,0.26296713,2104,8001
Pro00137_PET_L10_tail_side_r03,Pro00137,PHL7,PET_L10,10,tail-side,3,PASS,0.05305454545454546,0.0748,0.0418,W156,0.0579,-0.004845454545454542,0.9163133929973308,0.19,0.361,True,0.29021372,2322,8001
Pro00137_PET_L20_bidirectional_r02,Pro00137,PHL7,PET_L20,20,bidirectional,2,PASS,0.053618181818181815,0.0712,0.0428,W156,0.0593,-0.005681818181818184,0.9041851908630998,0.241,0.446,True,0.90613673,7250,8001
Pro00137_PET_L20_tail_side_r02,Pro00137,PHL7,PET_L20,20,tail-side,2,PASS,0.05734545454545455,0.0802,0.0443,W156,0.0661,-0.00875454545454546,0.8675560445605831,0.272,0.473,True,0.93238345,7460,8001
Pro00137_PET_L4_single_r02,Pro00137,PHL7,PET_L4,4,single,2,PASS,0.05156363636363636,0.0779,0.038,W156,0.0557,-0.004136363636363639,0.9257385343561285,0.229,0.457,True,0.99712536,7978,8001
