trajectory_id,protein_id,protein,protein_label,catalytic_ser_resid_simulation,catalytic_ser_atom,pet_kind,pet_length,direction,replica_id,run_id,retention_class,retention_fraction,production_verdict,stability_verdict,clash_verdict,pbc_verdict,n_frames,start_time_ns,end_time_ns,median_frame_interval_ps,mean_ser_og_to_any_pet_heavy_min_nm,median_ser_og_to_any_pet_heavy_min_nm,sd_ser_og_to_any_pet_heavy_min_nm,q05_ser_og_to_any_pet_heavy_min_nm,q25_ser_og_to_any_pet_heavy_min_nm,q75_ser_og_to_any_pet_heavy_min_nm,q95_ser_og_to_any_pet_heavy_min_nm,min_ser_og_to_any_pet_heavy_min_nm,max_ser_og_to_any_pet_heavy_min_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_4_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_6_nm,mean_ser_og_to_ester_carbonyl_c_min_nm,median_ser_og_to_ester_carbonyl_c_min_nm,sd_ser_og_to_ester_carbonyl_c_min_nm,q05_ser_og_to_ester_carbonyl_c_min_nm,q25_ser_og_to_ester_carbonyl_c_min_nm,q75_ser_og_to_ester_carbonyl_c_min_nm,q95_ser_og_to_ester_carbonyl_c_min_nm,min_ser_og_to_ester_carbonyl_c_min_nm,max_ser_og_to_ester_carbonyl_c_min_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_4_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_6_nm,mean_carbonyl_minus_any_heavy_min_nm
Pro00057_PET_L10_bidirectional_r03,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L10,10,bidirectional,3,pro00057_petl10_h200x32_binding002_20260529T234511Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.69210399,0.69100000,0.04336162,0.62300000,0.66400000,0.71900000,0.76400000,0.50500000,0.89800000,0.00000000,0.01887264,0.78470991,0.78400000,0.04668179,0.71100000,0.75300000,0.81500000,0.86300000,0.61900000,1.04100000,0.00000000,0.00000000,0.09260592
Pro00057_PET_L20_head_side_r01,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L20,20,head-side,1,pro00057_petl20_parallel64_from_l4_20260527T233152Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.49535958,0.51300000,0.07968725,0.31600000,0.46400000,0.54700000,0.59600000,0.25100000,0.67400000,0.13523310,0.96112986,0.60821747,0.62500000,0.08023126,0.42400000,0.58100000,0.65900000,0.71000000,0.35800000,0.78800000,0.02362205,0.32883390,0.11285789
Pro00057_PET_L20_head_side_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L20,20,head-side,2,pro00057_petl20_parallel64_from_l4_20260527T233152Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.79522047,0.80400000,0.08617535,0.65100000,0.74400000,0.85300000,0.92100000,0.37900000,1.09300000,0.00112486,0.01374828,0.91379478,0.90900000,0.08294026,0.77500000,0.86300000,0.96600000,1.05700000,0.65700000,1.21700000,0.00000000,0.00000000,0.11857430
Pro00057_PET_L20_head_side_r03,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L20,20,head-side,3,pro00057_petl20_parallel64_from_l4_20260527T233152Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.72653068,0.69100000,0.13044111,0.62200000,0.66300000,0.72800000,1.01600000,0.51000000,1.61700000,0.00000000,0.01912261,0.83160167,0.79700000,0.12526880,0.73300000,0.77000000,0.83200000,1.11500000,0.61700000,1.67300000,0.00000000,0.00000000,0.10507099
Pro00057_PET_L20_tail_side_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L20,20,tail-side,2,pro00057_petl20_parallel64_from_l4_20260527T233152Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.73568179,0.73400000,0.04716971,0.66200000,0.70500000,0.76400000,0.81500000,0.52300000,1.00900000,0.00000000,0.00199975,0.83154668,0.83200000,0.05576846,0.74100000,0.79200000,0.87100000,0.92000000,0.62700000,1.10200000,0.00000000,0.00000000,0.09586489
Pro00057_PET_L20_bidirectional_r01,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L20,20,bidirectional,1,pro00057_petl20_parallel64_from_l4_20260527T233152Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.53007862,0.56100000,0.12384326,0.27700000,0.47800000,0.61800000,0.67500000,0.24600000,0.95200000,0.17197850,0.66979128,0.61170666,0.63800000,0.11051144,0.38100000,0.57700000,0.68000000,0.74100000,0.33900000,1.05700000,0.10161230,0.31833521,0.08162805
Pro00057_PET_L20_bidirectional_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L20,20,bidirectional,2,pro00057_petl20_parallel64_from_l4_20260527T233152Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.75973416,0.74300000,0.07653543,0.66300000,0.70300000,0.80800000,0.89700000,0.55100000,1.18400000,0.00000000,0.00099988,0.86346782,0.85400000,0.06097730,0.78500000,0.82500000,0.89100000,0.97300000,0.66800000,1.29200000,0.00000000,0.00000000,0.10373366
Pro00062_PET_L4_single_r01,Pro00062,LCC,LCC WT,165,OG,PET_L4,4,single,1,pro00062_petl4_h200x32_binding001_20260531T161122Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.68859768,0.71600000,0.14846838,0.42200000,0.63300000,0.77900000,0.89100000,0.33600000,1.36600000,0.01212348,0.21897263,0.96477190,0.96100000,0.09560102,0.81600000,0.90700000,1.01600000,1.12200000,0.68000000,1.46100000,0.00000000,0.00000000,0.27617423
Pro00062_PET_L4_single_r02,Pro00062,LCC,LCC WT,165,OG,PET_L4,4,single,2,pro00062_petl4_h200x32_binding001_20260531T161122Z,retained,0.93190000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.96593088,0.63400000,1.12198419,0.51100000,0.59500000,0.68900000,4.18400000,0.27000000,6.85900000,0.00674916,0.28121485,1.06984427,0.73600000,1.12635729,0.63000000,0.70000000,0.78100000,4.26300000,0.49500000,6.93600000,0.00000000,0.03124609,0.10391339
Pro00062_PET_L10_head_side_r02,Pro00062,LCC,LCC WT,165,OG,PET_L10,10,head-side,2,pro00062_petl10_h200x32_binding001_20260601T032044Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.61769654,0.64100000,0.10636834,0.42300000,0.55100000,0.69900000,0.75700000,0.26000000,0.90700000,0.01924759,0.35045619,0.71070954,0.73200000,0.10083432,0.52500000,0.65100000,0.78200000,0.84800000,0.36800000,1.00500000,0.00037495,0.19410074,0.09301300
