trajectory_id,enzyme,protein_id,pet_length,direction,replica_id,run_id,planned_production_ns,final_logged_step,final_logged_time_ns,log_finished_mdrun,time_check_scope,retention_fraction,retention_class,analysis_window_ns,production_gate_verdict,stability_verdict,pbc_verdict,clash_verdict,nvt_gen_seed,gromacs_version_registry,gromacs_version_log,case_manifest_provenance
Pro00062__PET_L10__bidirectional__r3,LCC,Pro00062,10,bidirectional,3,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1256561631,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__head-side__r1,LCC,Pro00062,10,head-side,1,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.2428,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1279409813,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__head-side__r2,LCC,Pro00062,10,head-side,2,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1337534384,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__head-side__r3,LCC,Pro00062,10,head-side,3,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0574,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1886704419,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__tail-side__r1,LCC,Pro00062,10,tail-side,1,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.6593,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1398880316,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__tail-side__r2,LCC,Pro00062,10,tail-side,2,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.3575,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,490375563,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__tail-side__r3,LCC,Pro00062,10,tail-side,3,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.7393,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,416187466,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__bidirectional__r1,LCC,Pro00062,20,bidirectional,1,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9039,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1786986962,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__bidirectional__r2,LCC,Pro00062,20,bidirectional,2,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9641,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,2053340510,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__bidirectional__r3,LCC,Pro00062,20,bidirectional,3,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.4868,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1273685635,2025.4,2025.4,deployed_run_copy
